horas_uso_ia,sucesso_tarefa
0.0,0.0
0.04,1.0
0.05,0.0
0.06,1.0
0.07,0.0
0.08,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.6666666666666666
0.16,1.0
0.18,1.0
0.19,0.75
0.2,0.5
0.21,0.0
0.22,1.0
0.23,0.0
0.25,1.0
0.26,1.0
0.29,0.5
0.3,0.8
0.31,1.0
0.32,0.0
0.33,0.3333333333333333
0.34,0.0
0.35,0.3333333333333333
0.36,0.0
0.37,0.0
0.38,0.5
0.39,0.0
0.4,0.75
0.41,0.3333333333333333
0.43,1.0
0.45,0.0
0.46,0.5
0.47,1.0
0.48,0.6666666666666666
0.49,0.25
0.5,1.0
0.51,0.0
0.52,0.0
0.54,0.5
0.55,0.0
0.56,0.0
0.57,0.0
0.58,1.0
0.59,0.0
0.6,0.3333333333333333
0.62,0.75
0.63,0.5
0.64,0.0
0.65,1.0
0.66,0.5
0.68,0.6666666666666666
0.69,0.3333333333333333
0.7,0.0
0.71,0.75
0.72,0.5
0.74,0.75
0.75,0.2
0.78,0.6666666666666666
0.79,0.3333333333333333
0.8,1.0
0.81,0.0
0.82,0.6666666666666666
0.83,0.0
0.84,1.0
0.85,1.0
0.86,0.5
0.87,0.6666666666666666
0.88,0.0
0.89,0.4
0.91,0.5
0.93,0.0
0.94,1.0
0.95,0.75
0.97,0.0
0.99,0.0
1.0,1.0
1.02,0.5
1.03,1.0
1.05,0.6666666666666666
1.06,0.0
1.07,0.5
1.08,1.0
1.09,0.4
1.1,0.0
1.11,0.5
1.12,0.0
1.13,0.0
1.14,0.75
1.15,0.3333333333333333
1.16,1.0
1.18,0.6
1.19,0.6666666666666666
1.2,1.0
1.21,0.0
1.22,0.5
1.23,0.0
1.24,0.5
1.25,0.5
1.26,1.0
1.27,0.0
1.28,1.0
1.29,1.0
1.31,0.0
1.32,0.5
1.33,1.0
1.34,1.0
1.35,0.5
1.36,1.0
1.37,1.0
1.38,0.75
1.4,0.0
1.41,0.5
1.42,0.5
1.44,1.0
1.45,0.5
1.46,0.6666666666666666
1.47,0.6666666666666666
1.48,0.0
1.5,0.0
1.51,0.5
1.52,0.4
1.53,1.0
1.54,0.3333333333333333
1.55,1.0
1.56,0.0
1.58,1.0
1.6,0.3333333333333333
1.62,1.0
1.64,0.5
1.66,0.0
1.67,0.5
1.69,1.0
1.7,1.0
1.71,0.5
1.72,1.0
1.73,1.0
1.74,0.0
1.75,0.5
1.76,1.0
1.78,1.0
1.79,1.0
1.81,1.0
1.82,1.0
1.83,1.0
1.84,1.0
1.85,1.0
1.87,1.0
1.88,0.0
1.89,1.0
1.91,1.0
1.92,1.0
1.93,1.0
1.96,0.5
1.97,1.0
1.98,1.0
1.99,0.3333333333333333
2.0,1.0
2.01,1.0
2.03,0.5
2.04,0.5
2.05,1.0
2.06,0.5
2.07,0.6666666666666666
2.11,1.0
2.14,1.0
2.15,0.0
2.16,0.0
2.17,0.5
2.18,1.0
2.2,0.0
2.21,1.0
2.22,0.3333333333333333
2.24,1.0
2.26,0.0
2.27,1.0
2.28,1.0
2.29,1.0
2.32,1.0
2.33,1.0
2.35,1.0
2.36,1.0
2.39,0.0
2.4,1.0
2.41,0.5
2.42,1.0
2.43,0.0
2.45,1.0
2.47,1.0
2.48,1.0
2.5,0.0
2.51,0.0
2.52,0.0
2.55,0.0
2.57,1.0
2.58,1.0
2.59,1.0
2.61,0.0
2.63,1.0
2.64,1.0
2.65,0.5
2.66,1.0
2.67,1.0
2.74,1.0
2.76,1.0
2.81,1.0
2.82,1.0
2.84,1.0
2.86,1.0
2.88,1.0
2.9,1.0
2.91,0.5
2.92,1.0
2.95,0.5
3.01,1.0
3.02,1.0
3.03,1.0
3.05,1.0
3.06,1.0
3.08,1.0
3.13,1.0
3.14,1.0
3.24,1.0
3.28,1.0
3.29,1.0
3.34,1.0
3.36,0.0
3.4,0.5
3.44,1.0
3.47,0.5
3.48,0.0
3.5,1.0
3.52,0.0
3.54,1.0
3.55,1.0
3.61,1.0
3.64,1.0
3.68,1.0
3.8,1.0
3.83,1.0
3.86,1.0
3.92,0.0
3.98,1.0
4.01,0.0
4.13,0.0
4.15,1.0
4.16,1.0
4.26,1.0
4.35,1.0
4.67,1.0
4.86,1.0
4.92,0.0
5.01,1.0
5.33,1.0
5.37,0.0
5.56,1.0
6.0,1.0
6.36,1.0
